Unnamed: 0,Guarulhos,Imóveis residenciais,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Imóveis residenciais.1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Imóveis residenciais.2,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Imóveis comerciais,Unnamed: 48,Unnamed: 49,Unnamed: 50,Imóveis comerciais.1,Unnamed: 52,Unnamed: 53,Unnamed: 54,Imóveis comerciais.2
,2015-12-01 00:00:00,127.52914862516585,.,.,.,.,0.006626631860332521,.,.,.,.,-0.023179010263156163,.,.,.,.,4844.171623066787,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2016-01-01 00:00:00,127.58566860256572,.,.,.,.,0.0004431926191711573,.,.,.,.,-0.027032226908697443,.,.,.,.,4846.318524176129,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2016-02-01 00:00:00,127.63926585089145,.,.,.,.,0.00042008831330974164,.,.,.,.,-0.014795891375486314,.,.,.,.,4848.354405950711,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2016-03-01 00:00:00,127.65459093571782,.,.,.,.,0.00012006559834249841,.,.,.,.,0.01093547160418118,.,.,.,.,4848.936526523437,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2016-04-01 00:00:00,127.78463518924599,.,.,.,.,0.0010187197544164004,.,.,.,.,0.009504241876904462,.,.,.,.,4853.8762339509185,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2016-05-01 00:00:00,127.93358045550168,.,.,.,.,0.001165596051787641,.,.,.,.,0.016476154954681244,.,.,.,.,4859.5338929250765,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2016-06-01 00:00:00,127.37164783045165,.,.,.,.,-0.004392377849891329,.,.,.,.,0.017892483416966698,.,.,.,.,4838.1889838929965,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2016-07-01 00:00:00,126.86877996365303,.,.,.,.,-0.003948036123926171,.,.,.,.,0.014862285795739894,.,.,.,.,4819.087639010205,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2016-08-01 00:00:00,126.5907885552972,.,.,.,.,-0.0021911727095939018,.,.,.,.,0.012125449117259324,.,.,.,.,4808.528185690465,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2016-09-01 00:00:00,127.02145025436697,.,.,.,.,0.0034019987076836238,.,.,.,.,0.014215519166797641,.,.,.,.,4824.886792364044,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2016-10-01 00:00:00,127.42146509794364,.,.,.,.,0.003149191280493227,.,.,.,.,0.011531397099762808,.,.,.,.,4840.081283779924,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2016-11-01 00:00:00,127.8223135333572,.,.,.,.,0.0031458470133382296,.,.,.,.,0.008940672276141148,.,.,.,.,4855.3074390308175,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2016-12-01 00:00:00,128.00153112839286,.,.,.,.,0.001402083799624571,.,.,.,.,0.003704113987426094,.,.,.,.,4862.114986933279,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-01-01 00:00:00,127.44270432708106,.,.,.,.,-0.004365782162021633,.,.,.,.,-0.0011205355354604318,.,.,.,.,4840.888052053628,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-02-01 00:00:00,127.49543414075038,.,.,.,.,0.0004137530975016423,.,.,.,.,-0.0011268609951823327,.,.,.,.,4842.890984479824,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-03-01 00:00:00,127.3101144102144,.,.,.,.,-0.0014535401348679095,.,.,.,.,-0.0026985047931169515,.,.,.,.,4835.851648065092,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-04-01 00:00:00,127.54104842149947,.,.,.,.,0.0018139486587919582,.,.,.,.,-0.0019062289248295006,.,.,.,.,4844.623634676217,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-05-01 00:00:00,127.61677466403933,.,.,.,.,0.0005937401603410578,.,.,.,.,-0.002476330220215761,.,.,.,.,4847.500082289862,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-06-01 00:00:00,128.04250665623016,.,.,.,.,0.0033360190563632144,.,.,.,.,0.005266939991790842,.,.,.,.,4863.671434940103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-07-01 00:00:00,128.27936816453376,.,.,.,.,0.0018498662240309257,.,.,.,.,0.011118481641305689,.,.,.,.,4872.668576452383,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-08-01 00:00:00,128.34418330911578,.,.,.,.,0.0005052655427712264,.,.,.,.,0.013850887365731701,.,.,.,.,4875.130567985409,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-09-01 00:00:00,128.20313807836555,.,.,.,.,-0.0010989608341697554,.,.,.,.,0.009303057252394664,.,.,.,.,4869.772990429728,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-10-01 00:00:00,128.1791925283716,.,.,.,.,-0.0001867781893085933,.,.,.,.,0.005946623120724137,.,.,.,.,4868.863423048232,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-11-01 00:00:00,128.29935536303384,.,.,.,.,0.000937459756860557,.,.,.,.,0.0037320700626510828,.,.,.,.,4873.42778656899,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2017-12-01 00:00:00,128.50008958135282,.,.,.,.,0.0015645769828770628,.,.,.,.,0.0038949413226931906,.,.,.,.,4881.052639511569,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-01-01 00:00:00,128.7327630086222,.,.,.,.,0.0018106868876699908,.,.,.,.,0.010122656203451319,.,.,.,.,4889.89069752396,.,.,.,.,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20.75126800098156,.,.,.,.,0.004005715146483592,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-02-01 00:00:00,129.03726892674587,.,.,.,.,0.002365411189871749,.,.,.,.,0.012093254918394747,.,.,.,.,4901.457299697131,.,.,.,.,99.96637005022671,.,.,.,.,-0.0003362994977328393,.,.,.,.,.,.,.,.,.,20.74428935997551,.,.,.,.,0.003995959779906989,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-03-01 00:00:00,129.8991071998826,.,.,.,.,0.006678987243801567,.,.,.,.,0.020336112347884905,.,.,.,.,4934.194070477846,.,.,.,.,100.63675533213298,.,.,.,.,0.006706108079841622,.,.,.,.,.,.,.,.,.,20.883402806463014,.,.,.,.,0.004015983194232202,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-04-01 00:00:00,130.10687370168594,.,.,.,.,0.0015994451869761207,.,.,.,.,0.020117643001544838,.,.,.,.,4942.086043435478,.,.,.,.,101.0979896204439,.,.,.,.,0.004583159371431389,.,.,.,.,.,.,.,.,.,20.979114769742832,.,.,.,.,0.004032368223782737,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-05-01 00:00:00,130.06260426427974,.,.,.,.,-0.00034025440890780097,.,.,.,.,0.019165424033629197,.,.,.,.,4940.404476869998,.,.,.,.,101.43960183963904,.,.,.,.,0.00337902089327069,.,.,.,.,.,.,.,.,.,21.050003636872116,.,.,.,.,0.0040570224715900174,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-06-01 00:00:00,129.49609832052295,.,.,.,.,-0.004355640477609552,.,.,.,.,0.011352414930421606,.,.,.,.,4918.88585115478,.,.,.,.,100.79933145669241,.,.,.,.,-0.006311838486499521,.,.,.,.,.,.,.,.,.,20.917139413775953,.,.,.,.,0.004026127938518782,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-07-01 00:00:00,129.2013074808308,.,.,.,.,-0.0022764457270557114,.,.,.,.,0.007186964899254411,.,.,.,.,4907.688274477043,.,.,.,.,100.97954294391687,.,.,.,.,0.0017878242307776127,.,.,.,.,.,.,.,.,.,20.954535582458455,.,.,.,.,0.0040294094792897705,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-08-01 00:00:00,129.08340930530247,.,.,.,.,-0.0009125153439009789,.,.,.,.,0.005759715611000971,.,.,.,.,4903.2099336235,.,.,.,.,100.44963027619933,.,.,.,.,-0.005247722977037572,.,.,.,.,.,.,.,.,.,20.84457198460924,.,.,.,.,0.004000652942994503,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-09-01 00:00:00,129.00819929085827,.,.,.,.,-0.0005826466379294399,.,.,.,.,0.006279574935214249,.,.,.,.,4900.353094840612,.,.,.,.,100.9557631484843,.,.,.,.,0.00503867332207486,.,.,.,.,.,.,.,.,.,20.949600973378157,.,.,.,.,0.00403563585370448,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-10-01 00:00:00,129.15346150747763,.,.,.,.,0.0011259921262202315,.,.,.,.,0.007600835673000406,.,.,.,.,4905.870853841102,.,.,.,.,101.1316999174551,.,.,.,.,0.0017427114954500222,.,.,.,.,.,.,.,.,.,20.986110083819558,.,.,.,.,0.004046742650028288,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-11-01 00:00:00,129.4242402793283,.,.,.,.,0.0020965661213422563,.,.,.,.,0.008767658365168796,.,.,.,.,4916.156336468946,.,.,.,.,101.5868720240406,.,.,.,.,0.0045007856780516775,.,.,.,.,.,.,.,.,.,21.08056406752283,.,.,.,.,0.004069482164541939,.,.,.,.,.,.,.,.,.,.,.,.,.
,2018-12-01 00:00:00,129.48982041979187,.,.,.,.,0.0005067067832270852,.,.,.,.,0.00770218014371471,.,.,.,.,4918.647386232041,.,.,.,.,101.28384387439735,.,.,.,.,-0.0029829459614776344,.,.,.,.,.,.,.,.,.,21.01768188407194,.,.,.,.,0.004050218331681045,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-01-01 00:00:00,129.39192221332365,.,.,.,.,-0.0007560301354256893,.,.,.,.,0.00512036865593668,.,.,.,.,4914.928740582517,.,.,.,.,101.26061990660355,.,.,.,.,-0.00022929587686859598,.,.,.,.,0.01260619906603555,.,.,.,.,21.01286261627459,.,.,.,.,0.004048815803543504,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-02-01 00:00:00,129.69183609670617,.,.,.,.,0.00231787176704934,.,.,.,.,0.005072698573091339,.,.,.,.,4926.320915147373,.,.,.,.,100.81240620443236,.,.,.,.,-0.004426337727189478,.,.,.,.,0.008463207714560106,.,.,.,.,20.919852589719923,.,.,.,.,0.0040202079706092705,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-03-01 00:00:00,129.92698380695956,.,.,.,.,0.0018131265415815,.,.,.,.,0.00021460199132916635,.,.,.,.,4935.252958350975,.,.,.,.,100.96607758989933,.,.,.,.,0.0015243301023422084,.,.,.,.,0.003272385488577001,.,.,.,.,20.951741350758994,.,.,.,.,0.004020989211883012,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-04-01 00:00:00,130.21765116232416,.,.,.,.,0.002237159263209554,.,.,.,.,0.0008514343438319472,.,.,.,.,4946.293905223031,.,.,.,.,102.11614829173043,.,.,.,.,0.01139066436256364,.,.,.,.,0.010071008089370004,.,.,.,.,21.190395604296732,.,.,.,.,0.0040578488590825405,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-05-01 00:00:00,130.2139949415509,.,.,.,.,-2.807776626756464e-05,.,.,.,.,0.0011639831304897097,.,.,.,.,4946.15502433887,.,.,.,.,104.04721131110549,.,.,.,.,0.018910456883453053,.,.,.,.,0.025706030230566945,.,.,.,.,21.591115666715098,.,.,.,.,0.004185612150979712,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-06-01 00:00:00,130.24087667939688,.,.,.,.,0.00020644277028769586,.,.,.,.,0.005751357519903744,.,.,.,.,4947.176122284367,.,.,.,.,105.82439762208588,.,.,.,.,0.017080576101809575,.,.,.,.,0.04985217751719362,.,.,.,.,21.959904360983398,.,.,.,.,0.004293559196711169,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-07-01 00:00:00,130.06715313641422,.,.,.,.,-0.0013338634337536348,.,.,.,.,0.006701523943261067,.,.,.,.,4940.577264954513,.,.,.,.,105.43413444792017,.,.,.,.,-0.0036878374262936386,.,.,.,.,0.04411380141101784,.,.,.,.,21.878919803803136,.,.,.,.,0.004344760392704056,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-08-01 00:00:00,130.05440249079624,.,.,.,.,-9.803125009277824e-05,.,.,.,.,0.007522215215103323,.,.,.,.,4940.092933989049,.,.,.,.,105.65652476020095,.,.,.,.,0.0021092819080392733,.,.,.,.,0.051835875051850167,.,.,.,.,21.925068613512742,.,.,.,.,0.0043301070312453584,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-09-01 00:00:00,129.7482483547702,.,.,.,.,-0.002354046692480849,.,.,.,.,0.005736449837916435,.,.,.,.,4928.463724557244,.,.,.,.,106.91143732077185,.,.,.,.,0.011877284090301643,.,.,.,.,0.05899290923617739,.,.,.,.,22.185478882134788,.,.,.,.,0.00439199031435539,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-10-01 00:00:00,129.62088412058563,.,.,.,.,-0.0009816258469734773,.,.,.,.,0.00361912571023848,.,.,.,.,4923.625817179348,.,.,.,.,108.88544846884052,.,.,.,.,0.01846398474791755,.,.,.,.,0.07666981330002498,.,.,.,.,22.595111225839773,.,.,.,.,0.0044372881633709055,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-11-01 00:00:00,129.38621164254437,.,.,.,.,-0.0018104526877238403,.,.,.,.,-0.000293829322094985,.,.,.,.,4914.711825585288,.,.,.,.,108.96859964028127,.,.,.,.,0.0007636573353926313,.,.,.,.,0.07266418848386014,.,.,.,.,22.6123661482714,.,.,.,.,0.004449342666086155,.,.,.,.,.,.,.,.,.,.,.,.,.
,2019-12-01 00:00:00,128.91898437037923,.,.,.,.,-0.003611105590261343,.,.,.,.,-0.004408346907595062,.,.,.,.,4896.964282237394,.,.,.,.,108.56955562021265,.,.,.,.,-0.0036620092520772696,.,.,.,.,0.07193360231124668,.,.,.,.,22.529559454225073,.,.,.,.,0.004449021769365009,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-01-01 00:00:00,128.52174449196596,.,.,.,.,-0.003081314054352191,.,.,.,.,-0.006725131727489675,.,.,.,.,4881.875197370875,.,.,.,.,107.16879237316846,.,.,.,.,-0.012901989319586082,.,.,.,.,0.0583462008430744,.,.,.,.,22.238883318771677,.,.,.,.,0.0043533243196093785,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-02-01 00:00:00,128.5362919211015,.,.,.,.,0.00011319041142066055,.,.,.,.,-0.008909922246324142,.,.,.,.,4882.42777883297,.,.,.,.,107.5143942006817,.,.,.,.,0.003224836445948176,.,.,.,.,0.06647979399141324,.,.,.,.,22.31060008021524,.,.,.,.,0.004364439845909483,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-03-01 00:00:00,129.00172281842953,.,.,.,.,0.0036210076576170813,.,.,.,.,-0.00712139204204687,.,.,.,.,4900.107087207886,.,.,.,.,108.23959044804657,.,.,.,.,0.006745108436468916,.,.,.,.,0.07203917426296935,.,.,.,.,22.461087497038985,.,.,.,.,0.0043816679681316665,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-04-01 00:00:00,129.53299123868243,.,.,.,.,0.0041183048462125615,.,.,.,.,-0.005257811959672565,.,.,.,.,4920.287221972095,.,.,.,.,109.53244326798509,.,.,.,.,0.011944361712631135,.,.,.,.,0.07262607433123525,.,.,.,.,22.729370850562677,.,.,.,.,0.004419898692509553,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-05-01 00:00:00,129.66603062864002,.,.,.,.,0.0010270695417853304,.,.,.,.,-0.004208182946517036,.,.,.,.,4925.340699114618,.,.,.,.,109.50316565014249,.,.,.,.,-0.000267296309377163,.,.,.,.,0.05243729524593865,.,.,.,.,22.72329537361986,.,.,.,.,0.00441523248815983,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-06-01 00:00:00,128.8636160994828,.,.,.,.,-0.006188317212048267,.,.,.,.,-0.010574718283756224,.,.,.,.,4894.861128491084,.,.,.,.,107.65179501309042,.,.,.,.,-0.01690700561997549,.,.,.,.,0.017268204989273173,.,.,.,.,22.339112491033703,.,.,.,.,0.004363371495928961,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-07-01 00:00:00,128.57538979536582,.,.,.,.,-0.0022366771385219364,.,.,.,.,-0.011469178075142805,.,.,.,.,4883.912904508748,.,.,.,.,105.82774636375508,.,.,.,.,-0.0169439687384082,.,.,.,.,0.0037332493683943646,.,.,.,.,21.960599267341845,.,.,.,.,0.004298927818156496,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-08-01 00:00:00,127.96660945462965,.,.,.,.,-0.00473481232843298,.,.,.,.,-0.01605322846579016,.,.,.,.,4860.7884934774875,.,.,.,.,104.59303795087786,.,.,.,.,-0.011667152096702882,.,.,.,.,-0.010065510026349922,.,.,.,.,21.704381615555025,.,.,.,.,0.0042661439342235345,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-09-01 00:00:00,128.56100244896444,.,.,.,.,0.004644906955556527,.,.,.,.,-0.009150380994427554,.,.,.,.,4883.36640376033,.,.,.,.,105.88053157696095,.,.,.,.,0.012309553783950378,.,.,.,.,-0.009642614201489264,.,.,.,.,21.971552868399083,.,.,.,.,0.004299279889630261,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-10-01 00:00:00,129.12542625736847,.,.,.,.,0.004390318974279106,.,.,.,.,-0.003822361393216789,.,.,.,.,4904.805939941117,.,.,.,.,106.74206955087124,.,.,.,.,0.008136887500267864,.,.,.,.,-0.01968471405600769,.,.,.,.,22.150332922295433,.,.,.,.,0.004313338678075876,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-11-01 00:00:00,130.451461379509,.,.,.,.,0.01026935717135613,.,.,.,.,0.008233100911151148,.,.,.,.,4955.175143994561,.,.,.,.,108.6392366141969,.,.,.,.,0.017773377182100702,.,.,.,.,-0.0030225498645630733,.,.,.,.,22.544019144032493,.,.,.,.,0.004344945111479076,.,.,.,.,.,.,.,.,.,.,.,.,.
,2020-12-01 00:00:00,131.79943579370493,.,.,.,.,0.010333149203092473,.,.,.,.,0.0223431129045375,.,.,.,.,5006.377708084912,.,.,.,.,109.7428736011875,.,.,.,.,0.010158732897855849,.,.,.,.,0.010807062571751125,.,.,.,.,22.77303781296087,.,.,.,.,0.004347684251018431,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-01-01 00:00:00,132.37772295406594,.,.,.,.,0.0043876300143359526,.,.,.,.,0.030002537526566453,.,.,.,.,5028.343841180009,.,.,.,.,111.84055980886748,.,.,.,.,0.019114555130961053,.,.,.,.,0.04359261061216069,.,.,.,.,23.20833429973617,.,.,.,.,0.0044848982580641865,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-02-01 00:00:00,132.81616738942074,.,.,.,.,0.003312071136825079,.,.,.,.,0.03329701988716405,.,.,.,.,5044.998073682414,.,.,.,.,113.11912979622858,.,.,.,.,0.011432077857497669,.,.,.,.,0.05213009511159328,.,.,.,.,23.473653784393587,.,.,.,.,0.004520190896075146,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-03-01 00:00:00,133.1611297745926,.,.,.,.,0.0025972921215262623,.,.,.,.,0.0322430341648805,.,.,.,.,5058.101407432305,.,.,.,.,114.99779009460296,.,.,.,.,0.016607803664672627,.,.,.,.,0.06243740962601141,.,.,.,.,23.863499617737297,.,.,.,.,0.00458374108649903,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-04-01 00:00:00,134.0399697236383,.,.,.,.,0.006599823466002075,.,.,.,.,0.034794058578105025,.,.,.,.,5091.483983794494,.,.,.,.,116.74584834327426,.,.,.,.,0.015200798617375666,.,.,.,.,0.06585633315638417,.,.,.,.,24.226243869732343,.,.,.,.,0.004624641459116395,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-05-01 00:00:00,134.7903426923749,.,.,.,.,0.005598128455890583,.,.,.,.,0.03951931002199638,.,.,.,.,5119.986765166884,.,.,.,.,117.92576512220472,.,.,.,.,0.010106712963882769,.,.,.,.,0.07691649298041336,.,.,.,.,24.47109156271675,.,.,.,.,0.004648055082995381,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-06-01 00:00:00,135.6032370375611,.,.,.,.,0.006030805538060013,.,.,.,.,0.05230041762040338,.,.,.,.,5150.864409705046,.,.,.,.,118.60265808218408,.,.,.,.,0.005739992098231506,.,.,.,.,0.1017248534291697,.,.,.,.,24.611555434921843,.,.,.,.,0.004647907799173326,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-07-01 00:00:00,136.34096995523134,.,.,.,.,0.0054403783699197295,.,.,.,.,0.06039709599344656,.,.,.,.,5178.887061025995,.,.,.,.,119.33033014412669,.,.,.,.,0.006135377349117954,.,.,.,.,0.12759020431144807,.,.,.,.,24.762556614663826,.,.,.,.,0.004651263645835536,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-08-01 00:00:00,137.01207712730059,.,.,.,.,0.004922270776638982,.,.,.,.,0.07068615564029601,.,.,.,.,5204.378945461996,.,.,.,.,121.00410795391635,.,.,.,.,0.014026424026214235,.,.,.,.,0.15690403801776887,.,.,.,.,25.109886733714234,.,.,.,.,0.004693204248280114,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-09-01 00:00:00,137.83443060836757,.,.,.,.,0.006002051047681922,.,.,.,.,0.07213251283634348,.,.,.,.,5235.61589356414,.,.,.,.,124.18480802184226,.,.,.,.,0.02628588501422824,.,.,.,.,0.17287669576513753,.,.,.,.,25.769922329116945,.,.,.,.,0.0047894577449430625,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-10-01 00:00:00,138.58847376375886,.,.,.,.,0.005470644396056379,.,.,.,.,0.0732857019773081,.,.,.,.,5264.258086312169,.,.,.,.,126.4420115708614,.,.,.,.,0.018176164902732106,.,.,.,.,0.1845564930760646,.,.,.,.,26.238320686901574,.,.,.,.,0.004848700485584577,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-11-01 00:00:00,139.72649064201013,.,.,.,.,0.008211482869716624,.,.,.,.,0.07109946614946883,.,.,.,.,5307.485451409689,.,.,.,.,128.864549699809,.,.,.,.,0.019159281783412307,.,.,.,.,0.18616950667130405,.,.,.,.,26.741028066465454,.,.,.,.,0.004903559063312866,.,.,.,.,.,.,.,.,.,.,.,.,.
,2021-12-01 00:00:00,140.50572283847657,.,.,.,.,0.0055768393873347755,.,.,.,.,0.06605708888161632,.,.,.,.,5337.0844453228165,.,.,.,.,130.19692408817514,.,.,.,.,0.010339339961765281,.,.,.,.,0.1863815828380706,.,.,.,.,27.01751264657175,.,.,.,.,0.004925460170500257,.,.,.,.,.,.,.,.,.,.,.,.,.
,2022-01-01 00:00:00,141.10225156467448,.,.,.,.,0.0042455831274834654,.,.,.,.,0.06590632030765375,.,.,.,.,5359.743480993833,.,.,.,.,132.26113810989287,.,.,.,.,0.015854552910326447,.,.,.,.,0.18258651723420916,.,.,.,.,27.445863230332236,.,.,.,.,0.005017811749456262,.,.,.,.,.,.,.,.,.,.,.,.,.
,2022-02-01 00:00:00,141.6758625932154,.,.,.,.,0.004065215276015888,.,.,.,.,0.06670645131490494,.,.,.,.,5381.531992068296,.,.,.,.,132.8642451982175,.,.,.,.,0.004559972014028135,.,.,.,.,0.1745515142978693,.,.,.,.,27.5710155985634,.,.,.,.,0.005016769010730394,.,.,.,.,.,.,.,.,.,.,.,.,.
,2022-03-01 00:00:00,142.53408338816817,.,.,.,.,0.006057635925019289,.,.,.,.,0.07038806016021004,.,.,.,.,5414.131353595089,.,.,.,.,133.01799962220778,.,.,.,.,0.0011572294996362587,.,.,.,.,0.15670048539872372,.,.,.,.,27.602921591148988,.,.,.,.,0.004990294630130442,.,.,.,.,.,.,.,.,.,.,.,.,.
,2022-04-01 00:00:00,143.63873521961827,.,.,.,.,0.007750088997603211,.,.,.,.,0.07161121802526926,.,.,.,.,5456.091353430165,.,.,.,.,133.35620036400815,.,.,.,.,0.002542518627260293,.,.,.,.,0.14227788188144852,.,.,.,.,27.67310253346129,.,.,.,.,0.004963989500795588,.,.,.,.,.,.,.,.,.,.,.,.,.
,2022-05-01 00:00:00,144.21990406685464,.,.,.,.,0.00404604542324738,.,.,.,.,0.06995724757522392,.,.,.,.,5478.166946879531,.,.,.,.,135.22196841783912,.,.,.,.,0.013990860932886484,.,.,.,.,0.1466702656345762,.,.,.,.,28.06027306258845,.,.,.,.,0.0050102982888983304,.,.,.,.,.,.,.,.,.,.,.,.,.
