"script","engine_dependency"
"scripts\realestate\run_realestate_forecast_by_regime.py","none"
"scripts\realestate\run_realestate_hmm.py","none"
"scripts\realestate\run_realestate_pipeline.py","graph_engine"
"scripts\realestate\run_realestate_rqa.py","graph_engine"
"scripts\report\build_case_studies.py","none"
"scripts\report\build_dashboard_overview.py","none"
"scripts\report\build_official_benchmark_visuals.py","none"
"scripts\report\consolidate_results.py","none"
"scripts\report\convert_report_to_pdf.py","none"
"scripts\report\extract_vix_pdf_to_md.py","none"
"scripts\report\generate_blend_report.py","none"
"scripts\report\generate_explainability.py","none"
"scripts\report\generate_figures.py","none"
"scripts\report\generate_gpt_ready_reports.py","none"
"scripts\report\generate_hypercube_plots.py","none"
"scripts\report\generate_market_report.py","none"
"scripts\report\generate_universe_report.py","none"
"scripts\report\plot_single_csv.py","none"
"scripts\report\__init__.py","none"
"scripts\sim\generate_synthetic_curriculum.py","spa"
"scripts\sim\lab_generate_lorenz.py","none"
"scripts\sim\run_duffing_analysis.py","spa"
"scripts\sim\run_lorenz_analysis.py","spa"
"scripts\sim\run_pendulo_duplo_analysis.py","spa"
"scripts\sim\run_phase1_curriculum.py","spa"
"scripts\sim\run_phase1_heavy_synthetic.py","spa"
"scripts\sim\run_regime_synthetic.py","spa"
"scripts\sim\run_synthetic_regimes.py","spa"
"scripts\sim\run_vanderpol_analysis.py","spa"
"scripts\sim\simulate_lorenz.py","none"
"scripts\sim\__init__.py","none"
"scripts\utils\aggregate_market_events.py","none"
"scripts\utils\algorithm_comparison.py","none"
"scripts\utils\main.py","none"
"scripts\utils\run_with_progress.py","none"
"scripts\utils\__init__.py","none"
