"path","status","recommendation","reason"
"""data/realestate/normalized/FipeZap_S\303\243o_Lu\303\255s_Total.csv""","??","review","manual review"
"""data/realestate/normalized/FipeZap_S\303\243o_Paulo_Total.csv""","M","review","manual review"
"""data/realestate/normalized/FipeZap_S\303\243o_Vicente_Total.csv""","??","review","manual review"
"""data/realestate/normalized/FipeZap_Santo_Andr\303\251_Total.csv""","??","review","manual review"
"""data/realestate/normalized/FipeZap_Vit\303\263ria_Total.csv""","??","review","manual review"
"data/realestate/normalized/FipeZap_Aracaju_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Barueri_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Belo_Horizonte_Total.csv","M","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Betim_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Blumenau_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Campinas_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Campo_Grande_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Canoas_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Caxias_do_Sul_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Contagem_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Curitiba_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Diadema_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Fortaleza_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Guarulhos_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Itapema_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Joinville_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Londrina_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Manaus_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Natal_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Novo_Hamburgo_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Osasco_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Pelotas_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Porto_Alegre_Total.csv","M","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Praia_Grande_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Recife_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Rio_de_Janeiro_Total.csv","M","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Salvador_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Santa_Maria_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Santos_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Teresina_Total.csv","??","review","bulk normalized data (size/necessity)"
"data/realestate/normalized/FipeZap_Vila_Velha_Total.csv","??","review","bulk normalized data (size/necessity)"
"spa/validation_gate.py","??","review","legacy path; decide migration"
